Set number,Card name,Rarity,Value,IOS,IOS duplicate
1,Hoppip,C,0.12,0,0
2,Skiploom,U,0.05,0,0
3,Jumpluff,R,0.16,0,0
4,Pineco,C,0.07,0,0
5,Forretress ex,DR,2.12,2,2
6,Heracross,U,0.05,1,0
7,Tropius,C,0.04,0,0
8,Combee,C,0.05,0,0
9,Vespiquen,U,0.06,0,0
10,Snover,C,0.04,1,0
11,Abomasnow,R,0.14,1,0
12,Sprigatito,C,0.07,1,0
13,Sprigatito,C,0.07,1,0
14,Floragato,U,0.07,1,0
15,Meowscarada ex,DR,2.29,2,2
16,Tarountula,C,0.05,0,0
17,Tarountula,C,0.06,0,0
18,Spidops,U,0.07,0,0
19,Nymble,C,0.05,0,0
20,Nymble,C,0.05,0,0
21,Lokix,R,0.14,0,0
22,Bramblin,C,0.05,1,0
23,Bramblin,C,0.05,1,0
24,Brambleghast,U,0.07,1,0
25,Rellor,C,0.05,0,0
26,Rellor,C,0.05,0,0
27,Wo-Chien ex,DR,1.94,2,2
28,Paldean Tauros,U,0.1,4,0
29,Fletchinder,U,0.06,0,0
30,Talonflame,U,0.06,0,0
31,Litleo,C,0.04,0,0
32,Pyroar,U,0.06,0,0
33,Oricorio,R,0.22,0,0
34,Fuecoco,C,0.06,0,0
35,Fuecoco,C,0.06,0,0
36,Crocalor,U,0.06,0,0
37,Skeledirge ex,DR,1.63,2,2
38,Charcadet,C,0.04,4,0
39,Charcadet,C,0.06,4,0
40,Chi-Yu ex,DR,1.67,2,2
41,Paldean Tauros,U,0.09,1,0
42,Magikarp,C,0.04,1,0
43,Gyarados,R,0.14,1,0
44,Marill,C,0.05,0,0
45,Azumarill,U,0.05,0,0
46,Delibird,C,0.04,0,0
47,Luvdisc,C,0.05,0,0
48,Eiscue,U,0.04,0,0
49,Quaxly,C,0.05,1,0
50,Quaxly,C,0.05,1,0
51,Quaxwell,U,0.05,1,0
52,Quaquaval ex,DR,1.41,2,2
53,Cetoddle,C,0.05,0,0
54,Cetoddle,C,0.05,0,0
55,Cetitan,U,0.05,0,0
56,Veluza,R,0.19,0,0
57,Frigibax,C,0.09,0,0
58,Frigibax,C,0.09,1,0
59,Arctibax,U,0.07,1,0
60,Baxcalibur,R,0.38,1,0
61,Chien-Pao ex,DR,8.41,2,2
62,Pkachu,C,0.05,0,0
63,Pikachu ex,DR,3.06,2,2
64,Raichu,U,0.07,0,0
65,Magnemite,C,0.04,4,0
66,Voltorb,C,0.05,0,0
67,Electrode,U,0.05,0,0
68,Shinx,C,0.04,0,0
69,Shinx,C,0.05,0,0
70,Luxio,U,0.05,0,0
71,Luxray,R,0.44,1,0
72,Pincurchin,C,0.05,0,0
73,Pincurchin,U,0.05,0,0
74,Pawmi,C,0.05,0,0
75,Pawmo,U,0.06,0,0
76,Pawmot,R,0.14,0,0
77,Tadbulb,C,0.06,0,0
78,Tadbulb,C,0.06,0,0
79,Bellibolt ex,DR,1.41,2,2
80,Wattrel,C,0.08,0,0
81,Wattrel,C,0.06,0,0
82,Kilowattrel,U,0.06,0,0
83,Jigglypuff,C,0.05,0,0
84,Wigglytuff,R,0.15,0,0
85,Slowpoke,C,0.05,0,0
86,Slowking ex,DR,1.76,2,2
87,Misdreavus,C,0.05,4,0
88,Mismagius,U,0.06,4,0
89,Spiritomb,R,0.53,1,0
90,Gothita,C,0.05,0,0
91,Gothorita,C,0.05,0,0
92,Gothitelle,U,0.06,0,0
93,Dedenne ex,DR,1.48,2,2
94,Oranguru,U,0.06,0,0
95,Sandygast,C,0.05,0,0
96,Palossand,U,0.05,0,0
97,Mimikyu,R,0.29,1,0
98,Ceruledge,R,0.25,4,0
99,Rabsca,R,0.21,0,0
100,Tinkatink,C,0.05,0,0
101,Tinkatink,C,0.05,0,0
102,Tinkatink,C,0.06,0,0
103,Tinkatuff,U,0.05,0,0
104,Tinkatuff,U,0.1,0,0
105,Tinkaton,R,0.21,0,0
106,Mankey,C,0.04,0,0
107,Primeape,U,0.05,0,0
108,Paldean Tauros,U,0.08,1,0
109,Sudowoodo,U,0.05,0,0
110,Larvitar,C,0.05,4,0
111,Pupitar,U,0.07,4,0
112,Makuhita,C,0.04,1,0
113,Hariyama,R,0.13,1,0
114,Croagunk,C,0.04,0,0
115,Toxicroak,U,0.04,0,0
116,Rockruff,C,0.05,0,0
117,Lycanroc ex,DR,1.79,2,2
118,Passimian,U,0.05,0,0
119,Falinks,C,0.04,4,0
120,Nacli,C,0.06,0,0
121,Nacli,C,0.05,0,0
122,Naclestack,U,0.07,0,0
123,Garganacl,R,0.22,0,0
124,Glimmet,C,0.07,0,0
125,Glimmet,C,0.06,0,0
126,Glimmora,R,0.31,0,0
127,Ting-Lu ex,DR,2.23,2,2
128,Paldean Wooper,C,0.08,3,0
129,Paldean Wooper,C,0.07,3,0
130,Paldean Clodsire ex,DR,1.68,2,2
131,Murkrow,C,0.06,1,0
132,Honchkrow,U,0.05,1,0
133,Sneasel,C,0.05,4,0
134,Weavile,R,0.17,4,0
135,Tyranitar,R,0.18,4,0
136,Sableye,R,0.17,4,0
137,Seviper,U,0.05,0,0
138,Deino,C,0.05,4,0
139,Zweilous,U,0.05,4,0
140,Hydreigon,R,0.21,4,0
141,Maschiff,C,0.05,0,0
142,Maschiff,C,0.05,0,0
143,Mabosstiff,U,0.05,0,0
144,Shroodle,C,0.06,0,0
145,Shroodle,C,0.06,0,0
146,Grafaiai,U,0.07,0,0
147,Bombirdier,U,0.05,0,0
148,Corviknight,U,0.05,4,0
149,Cufant,C,0.06,0,0
150,Copperajah ex,DR,1.36,2,2
151,Orthworm,R,0.29,0,0
152,Noibat,C,0.06,4,0
153,Noivern ex,DR,2.3,5,2
154,Girafarig,C,0.05,0,0
155,Farigiraf,U,0.07,0,0
156,Dunsparce,C,0.05,0,0
157,Dudunsparce,U,0.07,0,0
158,Wingull,C,0.05,0,0
159,Pelipper,U,0.06,0,0
160,Slakoth,C,0.04,0,0
161,Vigoroth,U,0.05,0,0
162,Slaking,R,0.18,0,0
163,Fletchling,C,0.05,0,0
164,Rookidee,C,0.05,4,0
165,Corvisquire,U,0.06,4,0
166,Tandemaus,C,0.06,4,3
167,Tandemaus,C,0.06,4,3
168,Maushold,U,0.06,4,3
169,Squawkabilly ex,DR,3.51,2,2
170,Flamigo,U,0.07,0,0
171,Artazon,U,0.21,1,1
172,Boss's Orders,R,0.38,1,1
173,Bravery Charm,U,0.33,1,1
174,Calamitous Snowy M.,U,0.16,0,0
175,Calamitous Wasteland,U,0.16,0,0
