Set number,Card name,Rarity,Value,IOS,IOS duplicate
1,Pineco,C,0.04,0,0
2,Heracross,U,0.04,1,0
3,Shroomish,C,0.04,1,0
4,Breloom,U,0.03,1,0
5,Cacnea,C,0.04,0,0
6,Cacturne,U,0.03,0,0
7,Tropius,C,0.04,0,0
8,Scatterbug,C,0.03,0,0
9,Spewpa,C,0.04,0,0
10,Vivillon,U,0.04,0,0
11,Skiddo,C,0.04,0,0
12,Gogoat,C,0.04,0,0
13,Sprigatito,C,0.04,1,0
14,Floragato,U,0.05,1,0
15,Meowscarada,R,0.09,1,0
16,Tarountula,C,0.04,0,0
17,Tarountula,C,0.04,0,0
18,Tarountula,C,0.05,0,0
19,Spidops ex,DR,1.12,0,0
20,Smoliv,C,0.04,0,0
21,Smoliv,C,0.04,0,0
22,Dolliv,C,0.04,0,0
23,Arboliva,R,0.09,0,0
24,Toedscool,C,0.04,0,0
25,Toedscool,C,0.04,0,0
26,Toedscruel,U,0.04,0,0
27,Capsakid,C,0.04,1,0
28,Capsakid,C,0.04,1,0
29,Scovillain,U,0.04,0,0
30,Growlithe,C,0.04,0,0
31,Growlithe,C,0.06,0,0
32,Arcanine ex,DR,2.34,3,2
33,Houndour,C,0.03,4,0
34,Houndoom,C,0.04,4,0
35,Torkoal,U,0.03,0,0
36,Fuecoco,C,0.03,0,0
37,Crocalor,U,0.04,0,0
38,Skeledirge,R,0.11,0,0
39,Charcadet,C,0.05,0,0
40,Charcadet,C,0.04,4,0
41,Armarouge,R,0.1,4,0
42,Slowpoke,C,0.03,0,0
43,Slowbro,R,0.09,0,0
44,Magikarp,C,0.03,0,0
45,Gyarados ex,DR,2.6,3,2
46,Buizel,C,0.04,0,0
47,Floatzel,U,0.03,0,0
48,Alomomola,C,0.04,0,0
49,Clauncher,C,0.03,0,0
50,Clawitzer,C,0.04,0,0
51,Bruxish,C,0.03,0,0
52,Quaxly,C,0.04,1,0
53,Quaxwell,U,0.04,1,0
54,Quaquaval,R,0.08,0,0
55,Wiglett,C,0.05,0,0
56,Wiglett,C,0.06,0,0
57,Wugtrio,U,0.05,0,0
58,Cetoddle,C,0.04,0,0
59,Cetoddle,C,0.04,0,0
60,Cetitan,U,0.04,0,0
61,Dondozo,R,0.08,0,0
62,Tatsugiri,U,0.03,0,0
63,Magnemite,C,0.04,0,0
64,Magneton,C,0.04,4,0
65,Magnezone ex,DR,1.34,5,2
66,Mareep,C,0.04,0,0
67,Flaaffy,U,0.03,1,0
68,Pachirisu,U,0.04,0,0
69,Rotom,C,0.04,0,0
70,Rotom,C,0.04,0,0
71,Toxel,C,0.04,4,0
72,Toxtricity,U,0.03,0,0
73,Pawmi,C,0.04,0,0
74,Pawmi,C,0.03,0,0
75,Pawmo,C,0.04,0,0
76,Pawmot,R,0.09,0,0
77,Wattrel,C,0.04,0,0
78,Wattrel,C,0.03,0,0
79,Kilowattrel,U,0.04,0,0
80,Miraidon,R,0.11,0,0
81,Miraidon ex,DR,4.13,2,2
82,Drowzee,C,0.04,0,0
83,Hypno,U,0.03,0,0
84,Ralts,C,0.04,0,0
85,Kirlia,C,0.04,4,0
86,Gardevoir ex,DR,4.27,5,2
