Henry Chao [US],Gardevoir ex
Ciaran Farah [CA],Lugia Archeops
Emmet Hurley [US],Roaring Moon ex
Steven Varesko [US],Lugia Archeops
Rahul Reddy [US],Lugia Archeops
Nolan Randall [CA],Other
Rowan Stavenow [CA],Regidrago VSTAR
Ian Robb [US],Regidrago VSTAR
Grafton Roll [US],Terapagos Dusknoir
Jeremy Gibson [US],Pidgeot Control
Joseph Figliano [US],Lugia Archeops
Hasan Kunukcu [US],Snorlax Stall
Maxwell Johnson [US],Snorlax Stall
George Illidge [US],Raging Bolt Ogerpon
DC DeVos [US],Lugia Archeops
Charlie Lockyer [US],Regidrago VSTAR
Adam Kalamat [CA],Gardevoir ex
Ryan Ginsburg [US],Snorlax Stall
Andrew Kennett [US],Ancient Box
Prin Basser [US],Raging Bolt Ogerpon
Dennis Peroff [CA],Other
Scotty Chesser [US],Ancient Box
Justin Kim [CA],Regidrago VSTAR
Ryan Antonucci [US],Snorlax Stall
Shane McManus [US],Lugia Archeops
Eder Jarillo [MX],Lugia Archeops
Tyler Mathews [US],Terapagos Dusknoir
Alex Barbosa [CA],Raging Bolt Ogerpon
Bodhi Robinson [US],Terapagos Dusknoir
Kevin Krueger [US],Other
Cody Byrd [US],Lugia Archeops
Samuel Scime [CA],Lugia Archeops
JW Kriewall [US],Lugia Archeops
Rafal Gladysz [US],Roaring Moon ex
Liam Halliburton [US],Pidgeot Control
Kenneth Xuan [US],Snorlax Stall
austen vance [US],Regidrago VSTAR
Rasmus Tang Christiansen [US],Klawf Terapagos
Owen Rhoads [US],Charizard Pidgeot
Cameron Kawasaki [US],Gholdengo ex
Vance Kelley [US],Regidrago VSTAR
Bradley Lippert [US],Other
Carter Malnaik [US],Other
Benjamin Hebert [CA],Gardevoir ex
Luke Morsa [US],Regidrago VSTAR
David Zheng [US],Charizard Pidgeot
Tord Reklev [NO],Pidgeot Control
Jeremiah Schmutz [US],Lugia Archeops
Eric Aubertin [CA],Other
Connor Chiappetta [US],Charizard Pidgeot
May White [CA],Gardevoir ex
Henry Thompson [US],Snorlax Stall
Fabrizio Inga Silva [PE],Raging Bolt Ogerpon
Sanjay Sundararajan [US],Pidgeot Control
Jake Santiago [CA],Regidrago VSTAR
Elsie Croizer [CA],Roaring Moon ex
Shinnosuke Komiya [US],Other
Jay Cristiano [CA],Other
>24 TABLE Tim Tipton [US],Unknown
Cyrus McCane [US],Snorlax Stall
Zach Cohen [US],Regidrago VSTAR
Brent Tonisson [AU],Charizard Pidgeot
Eric Liu [US],Lugia Archeops
Harry Rachel [US],Roaring Moon ex
Isaiah Williams [US],Regidrago VSTAR
Michael Bio [US],Terapagos Dusknoir
Matthew Padget [US],Roaring Moon ex
Dean Nezam [US],Regidrago VSTAR
Joseph Hollin [UK],Charizard Pidgeot
Akdiel Flores [US],Lugia Archeops
Kamal Crooks-Valdez [US],Regidrago VSTAR
Nickales Vernon [US],Roaring Moon ex
Tony Herrera [US],Miraidon ex
Dean Marsh [US],Charizard Pidgeot
Joseph Nawal [US],Lugia Archeops
Michael Davidson [US],Regidrago VSTAR
Aidan Khus [US],Terapagos Dusknoir
Stephan Blake [US],Snorlax Stall
Justin Newdorf [US],Regidrago VSTAR
Lucas Xing [CA],Regidrago VSTAR
Cobi Kawasaki [US],Lugia Archeops
Malcolm Whelan [NL],Other
Alex Schemanske [US],Terapagos Dusknoir
Dan Hugar [US],Ancient Box
Adrian Monin [US],Raging Bolt Ogerpon
Joshua Proehl [US],Terapagos Dusknoir
Julie Fowlkes [US],Snorlax Stall
Alex Wood [US],Charizard Pidgeot
