Okada Ryuki [JP],Dragapult Dusknoir
Rahul Reddy [US],Lugia Archeops
Jelle van Kampen [NL],Gholdengo ex
Stéphane Ivanoff [FR],Terapagos Dusknoir
Jan Hausmann [DE],Raging Bolt Ogerpon
Stephen Law [UK],Iron Thorns ex
Glenn Bauwens [BE],Miraidon ex
James de Boer [UK],Lugia Archeops
Tord Reklev [NO],Terapagos Dusknoir
Yoann Barszezak [FR],Regidrago VSTAR
Tom-Cedric Hinz [DE],Raging Bolt Ogerpon
Giorgio Gatti [IT],Dragapult Dusknoir
Guido Mielke [DE],Raging Bolt Ogerpon
Mateusz Łaszkiewicz [PL],Banette Gardevoir
Jon Eng [US],Regidrago VSTAR
Mathias Cohen-Solal [FR],Gardevoir ex
Sergio Ravelli [IT],Terapagos Dusknoir
Nina Eisenblätter [DE],Regidrago VSTAR
Hermanni Hietalahti [FI],Terapagos Dusknoir
Phillip Linney [CZ],Charizard Pidgeot
Miłosz Dyrlica [PL],Terapagos Dusknoir
Keito Arai [JP],Dragapult Dusknoir
Jamie Hindley [UK],Gardevoir ex
Björn Reinsdorf [DE],Palkia
Rune Heiremans [BE],Regidrago VSTAR
Julius Kerkis [FI],Regidrago VSTAR
Francesco Pasquale Caterino [IT],Terapagos Dusknoir
Vinnie Schelfhaut [BE],Dragapult Pidgeot
Jack Gregory-Campbell [UK],Terapagos Dusknoir
Koen Moors [NL],Raging Bolt Ogerpon
andrea Zorat [IT],Terapagos Dusknoir
Leon Thiemann [DE],Snorlax Stall
Pearce Wilton [UK],Charizard Pidgeot
Max Theeuwen [NL],Pidgeot Control
Bryan de Vries [NL],Charizard Pidgeot
Edwyn Mesman [NL],Charizard Pidgeot
Riley Malik [US],Charizard Pidgeot
Grant Manley [US],Terapagos Dusknoir
Julius Krag [DK],Pidgeot Control
Ashwin van Gool [NL],Raging Bolt Ogerpon
Rasmus Wagner [DK],Lost Zone Box
Alex Bortolini [IT],Iron Thorns ex
Jack Oliver [UK],Charizard Pidgeot
Benjamin Cheynubrata [DE],Charizard Pidgeot
Bartosz Pawlik [PL],Snorlax Stall
Julius Brunfeldt [FI],Regidrago VSTAR
Chatez Jones [DK],Iron Thorns ex
Alberto Conti [IT],Dragapult Dusknoir
miloslav posledni [CZ],Regidrago VSTAR
Toby Clark [UK],Iron Thorns ex
Thomas Ducrot [FR],Terapagos Dusknoir
Finn Looft [DE],Regidrago VSTAR
Vincent Fatunz [DE],Charizard Pidgeot
Timo Dell [DE],Other
Philipp Leciejewski [DE],Charizard Pidgeot
Vincenzo Cannata [IT],Raging Bolt Ogerpon
Steven Mao [DE],Charizard Pidgeot
Nozomu Okamoto [HU],Charizard Pidgeot
Ali Salame [DE],Lugia Archeops
Andrea Ceolin [IT],Snorlax Stall
Gunter Van Roey [BE],Terapagos Dusknoir
Ruben van der Sluis [NL],Gholdengo ex
Tim Peters [DE],Snorlax Stall
Joah Wiegner [DE],Snorlax Stall
Juho Kallama [FI],Raging Bolt Ogerpon
Alex Dao [UK],Palkia
Hlieb Smirnov [UA],Terapagos Dusknoir
Tammo Hauft [DE],Raging Bolt Ogerpon
Janne-Niklas Römer [DE],Lost Zone Box
Florian Mansuy [FR],Terapagos Dusknoir
Oliver Elwick [UK],Terapagos Dusknoir
César Carbajo García [ES],Miraidon ex
Kevin Krueger [US],Lugia Archeops
Aarni Karjala [FI],Gardevoir ex
Bolly Olufon [UK],Miraidon ex
Merlin Bresinski [DK],Terapagos Dusknoir
Jake Gamblen [UK],Dragapult Dusknoir
Joshua Vanoverschelde [BE],Lugia Archeops
Gabriel Smart [US],Charizard Pidgeot
Max van Leeuwen [NL],Dragapult Pidgeot
Anthony Blanchard [FR],Lugia Archeops
Joshua Bausch [DE],Terapagos Dusknoir
Alessandro Bax [IT],Terapagos Dusknoir
Michael Hunter [IE],Terapagos Dusknoir
Rone Nielsen [DK],Snorlax Stall
Frank Donald Dewald [DE],Iron Thorns ex
Mick de Jong [NL],Terapagos Dusknoir
Filippo Colamorea [IT],Terapagos Dusknoir
Philip Schulz [DE],Regidrago VSTAR
Kevin Balgar [DE],Gardevoir ex
Ethan Wilde [UK],Lugia Archeops
Julian Patz [DE],Lugia Archeops
Luke Kirkham [UK],Other
Christoph Stein [DE],Raging Bolt Ogerpon
Michael Cornwall [UK],Roaring Moon ex
James Cox [NL],Regidrago VSTAR
Steffen From [DK],Raging Bolt Ogerpon
Fabrizio Cremascoli [IT],Other
Kevin Král [CZ],Pidgeot Control
Andrea Mario Schroder [IT],Lugia Archeops
Owyn Kamerman [NL],Terapagos Dusknoir
Janek Jagiełło [PL],Charizard Pidgeot
FABIEN Pujol [FR],Terapagos Dusknoir
Youry De Bruyn [BE],Gardevoir ex
Pedro Eugenio Torres [ES],Regidrago VSTAR
Oscar Rivas [ES],Snorlax Stall
Andrew Hayward [UK],Charizard Pidgeot
Magnus Pedersen [DK],Terapagos Dusknoir
Eemeli Reijonen [FI],Terapagos Dusknoir
Samuel Scime [CA],Lugia Archeops
Riccardo Coviello [IT],Terapagos Dusknoir
Andreas Møller [DK],Raging Bolt Ogerpon
Julius Hoeptner [DE],Pidgeot Control
Alessio Cefola [IT],Charizard Pidgeot
Mikołaj Łaniecki [PL],Klawf Terapagos
Tim Schauder [DE],Iron Thorns ex
Luke Doran [UK],Lugia Archeops
Bo Vinke [NL],Charizard Pidgeot
Niels Jürgensen [DE],Regidrago VSTAR
Maximilian Teubert [DE],Pidgeot Control
James Whitby [UK],Terapagos Dusknoir
Sebastian Uziuk [PL],Raging Bolt Ogerpon
Robin Schulz [DE],Regidrago VSTAR
Lewis Beck [UK],Charizard Pidgeot
Samuele Roma [IT],Raging Bolt Ogerpon
Lukas Dellenbach [CH],Iron Thorns ex
Nam Paul Nguyen [DE],Other
Tobias Thesing [DE],Terapagos Dusknoir
Jose De las Casas [PE],Dragapult Pidgeot
Marco Ceccon [IT],Raging Bolt Ogerpon
Kevin Lenhardt [DE],Raging Bolt Ogerpon
nicky paradis [BE],Roaring Moon ex
Stefano Conti [IT],Regidrago VSTAR
Stepan Suchanek [CZ],Regidrago VSTAR
ward knuts [BE],Lugia Archeops
Simon Kolbe [DE],Roaring Moon ex
Aleksander Sowa [PL],Terapagos Dusknoir
Fabrizio Tallone [IT],Regidrago VSTAR
Benjamin Martinsen [NO],Lugia Archeops
David Booij [NL],Raging Bolt Ogerpon
Leon Rehberg [DE],Raging Bolt Ogerpon
Ceylan Sakrak [BE],Dragapult Pidgeot
David Cobelens [NL],Raging Bolt Ogerpon
Kamil Colatosti [CA],Lugia Archeops
Emil Khedher [MT],Terapagos Dusknoir
Rabah Zibouche [FR],Miraidon ex
Angelo De Domenico [IT],Raging Bolt Ogerpon
Arthur Van Audenrode [BE],Snorlax Stall
Kevin Ponthieux [IT],Raging Bolt Ogerpon
callum roulson [UK],Terapagos Dusknoir
Bastian Sellmaier [DE],Charizard Pidgeot
Eyüp Vroegop [NL],Miraidon ex
Nico Sommerfeld [DE],Raging Bolt Ogerpon
Eric Hendrickson [DE],Regidrago VSTAR
Anabel Funk [DE],Regidrago VSTAR
Christian Ballocco [IT],Dragapult Dusknoir
Sil van de Water [NL],Raging Bolt Ogerpon
ULADZIMIR MAZALEUSKI [PL],Banette Gardevoir
Aimé Ducret [CH],Terapagos Dusknoir
Shaon Sen [UK],Gardevoir ex
Mahdi Eftekhari [DE],Raging Bolt Ogerpon
Jaume Torrelles [ES],Unknown
Nico Alabas [DE],Unknown
Vo NGUYEN [FR],Unknown
Yang SHI [FR],Unknown
Eric Pujol [FR],Unknown
Neddy Kosek [CZ],Unknown
David Ferreira [PT],Unknown
Alexander Otte [DE],Unknown
Rebecca van der Lee [UK],Unknown
Ondřej Škubal [CZ],Unknown
Michael Clazzer [IT],Unknown
Maurizio Corimbi [DE],Unknown
Duy Manh Le [CZ],Unknown
Gracjan Sass [PL],Unknown
Dénes Szabó [HU],Unknown
Fernando Karolys [EC],Unknown
Fabian Schäfer [DE],Unknown
JOEL NGUYEN [FR],Unknown
Stefan Schwierz [DE],Unknown
Daniel Monticelli [IT],Unknown
Christoph Kochseder [AT],Unknown
Jia-Hao Ma [NL],Unknown
Nick Harsch [BE],Unknown
Marcel Nockemann [DE],Unknown
Benjamin PHAM [NL],Unknown
Roberto Sánchez [ES],Unknown
Andrea Calciolari [IT],Unknown
Ryan Harris [US],Unknown
>TCG-ST3>Thibaut Gerard [FR],Unknown
Finn Bakewell [UK],Unknown
