Alberto Conti [IT],Regidrago VSTAR
Tord Reklev [NO],Terapagos Dusknoir
Daniel Magda [CZ],Regidrago VSTAR
Magnus Pedersen [DK],Banette Gardevoir
Mateusz Łaszkiewicz [PL],Banette Gardevoir
Mathias Bøcker Jakobsen [DK],Iron Thorns ex
Steve Lawson [UK],Iron Thorns ex
Alex Scopini [IT],Snorlax Stall
Michael Hunter [IE],Gardevoir ex
Jack Blyth [UK],Lost Zone Box
Caleb Rogerson [US],Terapagos Dusknoir
Oscar Madsen [DK],Palkia
James Cox [NL],Regidrago VSTAR
Matthew Houtput [BE],Gardevoir ex
Brennan Kamerman [NL],Lost Zone Box
David Walerian Rzepka [DE],Gardevoir ex
Janek Jagiełło [PL],Charizard Pidgeot
Alessandro Cremascoli [IT],Other
Alessio Cefola [IT],Gholdengo ex
Oscar Rivas [ES],Other
Bernard Kościk [PL],Gholdengo ex
Andrea Ceolin [IT],Snorlax Stall
Eemeli Reijonen [FI],Snorlax Stall
Ashley Richards [UK],Other
Stéphane Ivanoff [FR],Gardevoir ex
Kaiwen Cabbabe [AU],Regidrago VSTAR
Luke Kirkham [UK],Other
Brent Tonisson [AU],Regidrago VSTAR
Alessio Carmignani [IT],Other
Denis Provázek [CZ],Regidrago VSTAR
Bert Wolters [NL],Terapagos Dusknoir
Louis Mowatt [UK],Lost Zone Box
Arthur Trutzschler [NL],Gardevoir ex
Dominik Malicki [PL],Miraidon ex
Roberto Costanzo [FR],Charizard Pidgeot
Uffe Axelsen [DK],Palkia
Hermanni Hietalahti [FI],Terapagos Dusknoir
Dawid Andrzejewski [PL],Terapagos Dusknoir
Paulo Mimoso [PT],Regidrago VSTAR
Tobias Strømdahl [NO],Pidgeot Control
Jakub Raczkowski [PL],Dragapult Dusknoir
Nicolas Baumann [DE],Other
Sam Taylor [UK],Iron Thorns ex
Konsta Kallama [FI],Lugia Archeops
Sergio Ravelli [IT],Terapagos Dusknoir
Toby Clark [UK],Iron Thorns ex
Ethan Wilde [UK],Lugia Archeops
Patrik Bartošovič [CZ],Lugia Archeops
Stefano Conti [IT],Regidrago VSTAR
Dominik Blache [DE],Charizard Pidgeot
Callum Griffiths [UK],Regidrago VSTAR
Mario Martín Núñez [ES],Terapagos Dusknoir
facundo facio [AR],Lugia Archeops
Drew Stephenson [UK],Regidrago VSTAR
Lewis Beck [UK],Raging Bolt Ogerpon
Jonathan Sharpling [UK],Palkia
Alex Robertson [UK],Charizard Pidgeot
Kristian Hodas [SK],Terapagos Dusknoir
David Kramer [IL],Raging Bolt Ogerpon
Francesco Pasquale Caterino [IT],Regidrago VSTAR
Jamie Henderson [UK],Gardevoir ex
Julius Krag [DK],Pidgeot Control
Melanie van der Elsen [NL],Raging Bolt Ogerpon
Maximilian Müller [DE],Dragapult Dusknoir
Isaac Yu [UK],Lost Zone Box
Callum Thomas [UK],Snorlax Stall
Aarni Karjala [FI],Charizard Pidgeot
Tobias Gervin [IE],Raging Bolt Ogerpon
Aldra Carrillo [ES],Terapagos Dusknoir
Ali Salame [DE],Lugia Archeops
Amir Oppenheim-Nevo [IL],Raging Bolt Ogerpon
Oliver Newson [UK],Iron Thorns ex
Vincenzo Cannata [IT],Raging Bolt Ogerpon
Rasmus Wagner [DK],Palkia
Gracjan Sass [PL],Banette Gardevoir
Adam Lásko [CZ],Miraidon ex
Sebastian Fernandez [AD],Terapagos Dusknoir
Jelle van Kampen [NL],Gholdengo ex
Matthew Shafik [UK],Gardevoir ex
Marcel Coucouvis [DE],Banette Gardevoir
Anthony Blanchard [FR],Lugia Archeops
Federico Gallo [AR],Miraidon ex
Marijn van Duivenboden [NL],Raging Bolt Ogerpon
Emilio Jose Montoro Fernandez [ES],Lost Zone Box
Teodor Skjæveland [NO],Other
Maciej Chojnacki [PL],Raging Bolt Ogerpon
Nico Alabas [DE],Terapagos Dusknoir
Vincenzo Enrico Zappalà [IT],Lugia Archeops
Ricki Madsen [DK],Dragapult Iron Thorns
Jake Walvin [UK],Lugia Archeops
Dario Scarnò [IT],Other
Quentin MATERNAT [FR],Raging Bolt Ogerpon
Öjvind Svinhufvud [FI],Terapagos Dusknoir
Marcus Munkholm [DK],Raging Bolt Ogerpon
Jamie Hindley [UK],Regidrago VSTAR
Kieren Reynolds [UK],Dragapult Iron Thorns
Zac France [UK],Raging Bolt Ogerpon
gracjan lampka [PL],Iron Thorns ex
Ben Cook [UK],Raging Bolt Ogerpon
Oliver Brice [UK],Iron Thorns ex
Alp Ehliz [DE],Iron Thorns ex
Sebastian Teague [UK],Lugia Archeops
Sebastian Emtell [SE],Dragapult Dusknoir
Johannes Rieck [DE],Other
Angelo Calì [IT],Lugia Archeops
Andrew Elliott [UK],Lugia Archeops
Bas Juffer [NL],Lugia Archeops
Robin MacMoffat [FI],Other
Philip Schulz [DE],Terapagos Dusknoir
Lucas Brausch [DE],Raging Bolt Ogerpon
Connor Mehew [UK],Terapagos Dusknoir
Gabriel Smart [US],Terapagos Dusknoir
Robert Raizada [UK],Raging Bolt Ogerpon
Mario Milano [BE],Lost Zone Box
Raz Shamir [IL],Terapagos Dusknoir
Ruben van der Sluis [NL],Unknown
Dominic Charlton [UK],Unknown
Michał Wencelis [PL],Unknown
Vito Butković [HR],Unknown
Arpan Dev [UK],Unknown
Andrea Pio Prencipe [IT],Unknown
Alex Stephenson [UK],Unknown
Gabor Van Meenen [DE],Unknown
Lennert De Clercq [BE],Unknown
[ST7] Will Gracie [UK],Unknown
Jan Hausmann [DE],Unknown
Theocharis Iakovidis [CY],Unknown
Aidan Tauber [US],Unknown
Bartosz Bialik [PL],Unknown
Fabio Spanò [IT],Unknown
Michal Grebenár [CZ],Unknown
Joshua Galys [DE],Unknown
Alex Northey [UK],Unknown
Yoann Barszezak [FR],Unknown
Jordon Hannant [UK],Unknown
Elizabeth Willet [DK],Unknown
Benedetta Todaro [IT],Unknown
José Enrique Bravo Gómez [ES],Unknown
Ajay Sridhar [US],Unknown
Thomas Jones [UK],Unknown
Nino Brodar [HR],Unknown
Finn Bakewell [UK],Unknown
Kieran Rowe [UK],Unknown
Karol Blesak [SK],Unknown
Timo Mertens [DE],Unknown
Krzysztof Walczak [PL],Unknown
Riccardo Donà [IT],Unknown
Leon Thiemann [DE],Unknown
Dylan Zeller [FR],Unknown
Mariusz Wyrzykowski [PL],Unknown
Antonio Granato [IT],Unknown
Paweł Radzikowski [PL],Unknown
Jack Gregory-Campbell [UK],Unknown
Nina Eisenblätter [DE],Unknown
