Yerco Valencia [CL],Lugia Archeops
Giovanny Sasso [BR],Terapagos Dusknoir
Alejandro Luciano Eijo [BR],Klawf Terapagos
João Requena [BR],Terapagos Dusknoir
Matias Matricardi [AR],Iron Thorns ex
Carlos Medina Astete [PE],Snorlax Stall
Rafael Yuiti [BR],Charizard Pidgeot
Antonio Jardim [BR],Raging Bolt Ogerpon
Nicolas Galaz [CL],Terapagos Dusknoir
Fabrizio Inga Silva [PE],Raging Bolt Ogerpon
Andres Lostaunau [PE],Roaring Moon ex
Thiago Giovannetti [BR],Palkia
gustavo wada [BR],Regidrago VSTAR
Laura Braga [BR],Regidrago VSTAR
Augusto Beringuer [BR],Iron Thorns ex
Douglas Borges [BR],Pidgeot Control
Marco Cifuentes [CL],Dragapult Pidgeot
João Pedro Medeiros Zambrano [BR],Regidrago VSTAR
Manuel González [CL],Charizard Pidgeot
Bastian Silva [CL],Dragapult Dusknoir
Henrique Bonenti [BR],Lugia Archeops
Isaac Salazar [CL],Raging Bolt Ogerpon
Caio Pires [BR],Iron Thorns ex
Jonathan Fabrizio Bellucci Lanciano [AR],Pidgeot Control
alex douglas pereira junior [BR],Raging Bolt Ogerpon
Gabriel Massaroth [BR],Lugia Archeops
Guilherme Bonow Oliveira [BR],Iron Thorns ex
Juan Jose Pomoli Fabregas [UY],Charizard Pidgeot
marcelo almeida [BR],Iron Thorns ex
eric da silva oliveira [BR],Regidrago VSTAR
João Paulo Sênida [BR],Charizard Pidgeot
felipe william [BR],Snorlax Stall
William Azevedo [BR],Terapagos Dusknoir
Jhonattan Nascimento [BR],Raging Bolt Ogerpon
Victor Hugo Sampa Hamaguti [BR],Terapagos Dusknoir
Murilo Mercadante [BR],Regidrago VSTAR
Flavio Henriques Soares [BR],Raging Bolt Ogerpon
Vinicius Augusto Gomes [BR],Charizard Pidgeot
adilson junior [BR],Other
Daniel Balbinot [BR],Regidrago VSTAR
Lucas Badaracco [BR],Terapagos Dusknoir
Gabriel Monzani Tavares [BR],Roaring Moon ex
victor muñoz [CL],Lugia Archeops
Lucas Pedrosa [BR],Klawf Terapagos
Alejo Salvador [AR],Snorlax Stall
Ryan Wesley da Costa [BR],Charizard Pidgeot
Pedro Turra [BR],Dragapult Pidgeot
Guilherme Cazzonato [BR],Charizard Pidgeot
Diego Cassiraga [AR],Raging Bolt Ogerpon
Júlio César Crusaro [BR],Charizard Pidgeot
Henrique de Almeida Scabbia [BR],Snorlax Stall
Júnio Fernandes [BR],Raging Bolt Ogerpon
WELLINGTON ZOOBI [BR],Snorlax Stall
Gabriel Isaac da Silva [BR],Charizard Pidgeot
Bruno Oswaldo Bertozzi Oliveira [BR],Snorlax Stall
JEFFERSON SOUZA [BR],Palkia
Eduardo Molina [CL],Unknown
Martín Piquerez [UY],Unknown
Lucas Yuji [BR],Unknown
Raul Chan [CL],Unknown
Nelson Barros [BR],Unknown
Lucas Zaniboni [BR],Unknown
Francisco Osorio [CL],Unknown
BIL OLIVEIRA [BR],Unknown
gabriel land [BR],Unknown
Paulo Gouveia de Freitas [BR],Unknown
José Iuri Brito [BR],Unknown
William Almeida Proença [BR],Unknown
heitor duperron [BR],Unknown
Edwin Rodriguez [BR],Unknown
Gabriel Ienaga [BR],Unknown
fabio cozzolino [BR],Unknown
Lucas Matheus [BR],Unknown
Gustavo Serafim [BR],Unknown
Rafael Breanza [BR],Unknown
Anderson Proscholdt [BR],Unknown
Kaio César Silva [BR],Unknown
Lucas Jordão [BR],Unknown
Sheldon Kuppan [ZA],Unknown
JORGE DA SILVA VIEIRA [BR],Unknown
Pedro Daher [BR],Unknown
Arthur Mesquita [BR],Unknown
Thiago Silva [BR],Unknown
Raphael Gonçalves [BR],Unknown
Victor Freitas [BR],Unknown
Lucas Ricardo Mazziero Botelho [BR],Unknown
Fernando Lopez [CL],Unknown
Heitor Duarte [BR],Unknown
Vinícius fernandez [BR],Unknown
Felipe Beraldo [BR],Unknown
Gustavo Schefer [BR],Unknown
Nahuel Avalos [AR],Unknown
Pedro Librelato [BR],Unknown
Andrew Ariel dias [BR],Unknown
Rodrigo Torres [BR],Unknown
Leonardo Walbrinch [BR],Unknown
BRUNO PARTALA [BR],Unknown
Fellipe Da Costa [BR],Unknown
Luccas Teves [BR],Unknown
Ingrid Paiva dos Santos [BR],Unknown
Emanuel Diogo [AR],Unknown
Yoanis Kovelis [BR],Unknown
Anthony Ribeiro [BR],Unknown
Nuno Farias [BR],Unknown
Ian Fukuda [BR],Unknown
