miloslav posledni [CZ],Regidrago VSTAR
Brent Tonisson [AU],Regidrago VSTAR
ILYA KORNILOV [FI],Gholdengo ex
Daniel Magda [CZ],Regidrago VSTAR
Jackson Ford [CA],Charizard Pidgeot
Rose Gregson [UK],Gardevoir ex
Austin Ellis [CA],Terapagos Dusknoir
Raz Wolpe [IL],Regidrago VSTAR
Julius Brunfeldt [FI],Regidrago VSTAR
Rafael Yuiti [BR],Charizard Pidgeot
Leonardo Walbrinch [BR],Iron Thorns ex
Rune Heiremans [BE],Regidrago VSTAR
Damian Gabriel Riquel [AR],Klawf Terapagos
Andres Lostaunau [PE],Roaring Moon ex
Carlos Sepúlveda [CL],Charizard Pidgeot
Vitor Lugon Cacciari Martinelli [BR],Charizard Pidgeot
Isaiah Bradner [US],Terapagos Dusknoir
Fabrizio Inga Silva [PE],Lost Zone Box
Gabriel Smart [US],Terapagos Dusknoir
Henry Chao [US],Gardevoir ex
Otavio Gouveia [BR],Regidrago VSTAR
Christian Fontenot [DK],Other
Jesus Rodriguez [PE],Regidrago VSTAR
Pedro Pertusi [BR],Charizard Pidgeot
Alex Schemanske [US],Other
Benny Billinger [CA],Gardevoir ex
Jose Zelaya [US],Other
Matthew Burris [AU],Regidrago VSTAR
Nathian Beck [US],Raging Bolt Ogerpon
Eder Jarillo [MX],Lugia Archeops
Felipe Solís [CL],Dragapult Dusknoir
Tim Franklin [AU],Regidrago VSTAR
Alberto Conti [IT],Regidrago VSTAR
Ryan Antonucci [US],Charizard Pidgeot
Bruno Barros [BR],Dragapult Dusknoir
Hermanni Hietalahti [FI],Terapagos Dusknoir
Caitlin White [CA],Regidrago VSTAR
Esteban O’Compley [CL],Lugia Archeops
Giovanny Sasso [BR],Klawf Terapagos
Sebastià Casas Mendonça [ES],Dragapult Pidgeot
Shun Takahashi [JP],Regidrago VSTAR
andrea Zorat [IT],Terapagos Dusknoir
Matias Matricardi [AR],Other
Dyego Rathje [BR],Terapagos Dusknoir
Vincent Fatunz [DE],Charizard Pidgeot
Eduardo Romanelli [BR],Lugia Archeops
Jamie Hindley [UK],Gardevoir ex
Alessandro Cremascoli [IT],Other
Adriano Kanazawa [BR],Raging Bolt Ogerpon
Aaron Walker [US],Iron Thorns ex
Simon Trottier-Lacasse [CA],Regidrago VSTAR
