James Cox [NL],Regidrago VSTAR
clement courbois [FR],Dragapult Pidgeot
Rone Nielsen [DK],Snorlax Stall
Alberto Conti [IT],Regidrago VSTAR
Kaiwen Cabbabe [AU],Regidrago VSTAR
Joshua Vanoverschelde [BE],Lugia Archeops
Ethan Wilde [UK],Lugia Archeops
Anthony Argente [FR],Raging Bolt Ogerpon
Nina Eisenblätter [DE],Regidrago VSTAR
David Walerian Rzepka [DE],Banette Gardevoir
Ondřej Škubal [CZ],Lugia Archeops
Sander Wojcik [NL],Other
Javier Tengo Jofre [ES],Terapagos Dusknoir
Luke Kirkham [UK],Other
Daniel Magda [CZ],Regidrago VSTAR
Nicholas Forsinetti [IT],Lugia Archeops
Stéphane Ivanoff [FR],Terapagos Dusknoir
Yoann Barszezak [FR],Regidrago VSTAR
Francesco Pasquale Caterino [IT],Charizard Pidgeot
miloslav posledni [CZ],Regidrago VSTAR
Nico Alabas [DE],Terapagos Dusknoir
nicky paradis [BE],Roaring Moon ex
Emma Hagen [NO],Pidgeot Control
Matthew Houtput [BE],Gardevoir ex
Drew Stephenson [UK],Regidrago VSTAR
Jory Koot [NL],Gardevoir ex
Lukasz Gziut [IM],Snorlax Stall
Aarni Karjala [FI],Charizard Pidgeot
Matias Matricardi [AR],Lost Zone Box
Joshua Galys [DE],Terapagos Dusknoir
Brent Tonisson [AU],Regidrago VSTAR
Mads Jensen [DK],Lugia Archeops
Elmar Tresp [DE],Snorlax Stall
Stephen L Kent [UK],Iron Thorns ex
Josh Bond [UK],Lugia Archeops
Emanuele Sirini [IT],Raging Bolt Ogerpon
Julien Charnet [FR],Iron Thorns ex
Bert Wolters [NL],Regidrago VSTAR
Arthur VINCENT [FR],Lugia Archeops
Bryan de Vries [NL],Charizard Pidgeot
Erik Bladh [SE],Charizard Pidgeot
Benjamin Martinsen [NO],Terapagos Dusknoir
Colin Müller-Kersting [DE],Dragapult Dusknoir
Florian Mansuy [FR],Terapagos Dusknoir
Omar Mahmood [UK],Lugia Archeops
Oscar Rivas [ES],Snorlax Stall
Harry Dunn [UK],Snorlax Stall
Tobias Gervin [IE],Raging Bolt Ogerpon
Amer Bikic [SE],Lugia Archeops
Łukasz Mazurkiewicz [PL],Snorlax Stall
Anthony Blanchard [FR],Lugia Archeops
Jamie Hindley [UK],Regidrago VSTAR
Stepan Suchanek [CZ],Lost Zone Box
Ashwin van Gool [NL],Raging Bolt Ogerpon
Igor Nowotnik [UK],Dragapult Dusknoir
stef jonge [NL],Charizard Pidgeot
Gilles Garré [BE],Regidrago VSTAR
Erik Støwer [NO],Lost Zone Box
Toby Clark [UK],Iron Thorns ex
Joshua Bausch [DE],Terapagos Dusknoir
Demetris Eaton [UK],Regidrago VSTAR
Jack Gregory-Campbell [UK],Terapagos Dusknoir
Matteo Cavani [IT],Terapagos Dusknoir
Maxence de Lussac [FR],Dragapult Dusknoir
Hermanni Hietalahti [FI],Lost Zone Box
Konsta Kallama [FI],Lugia Archeops
Maciej Chojnacki [PL],Raging Bolt Ogerpon
Jaume Torrelles [ES],Lugia Archeops
Bo Vinke [NL],Charizard Pidgeot
Corentin Antoine [FR],Gardevoir ex
Kai Wainwright [UK],Charizard Pidgeot
Thomas Standaert [BE],Lugia Archeops
Laura Abbott [UK],Raging Bolt Ogerpon
Ryan Griffiths [UK],Terapagos Dusknoir
Sen Caubergh [BE],Regidrago VSTAR
Bolly Olufon [UK],Miraidon ex
Magnus Pedersen [DK],Banette Gardevoir
Michal Grebenár [CZ],Lugia Archeops
Rune Heiremans [BE],Lost Zone Box
Kevin Balgar [DE],Gardevoir ex
Xavier Meyniel [FR],Lugia Archeops
Jack Culkin [UK],Charizard Pidgeot
Thomas Williams [UK],Regidrago VSTAR
Owyn Kamerman [NL],Banette Gardevoir
Dariusz Włodarski [PL],Lugia Archeops
Dario Van Meenen [DE],Snorlax Stall
Karl Blake [UK],Dragapult Dusknoir
Julius Brunfeldt [FI],Regidrago VSTAR
Demare Victor [FR],Lugia Archeops
Ali Salame [DE],Lugia Archeops
Thomas GULINO [FR],Terapagos Dusknoir
Zubin Schweitzer [UK],Pidgeot Control
Florian PETIT [FR],Iron Thorns ex
Dylan Zeller [FR],Snorlax Stall
Matthias Philipp [FR],Dragapult Dusknoir
Arthur Van Audenrode [BE],Terapagos Dusknoir
Tord Reklev [NO],Lost Zone Box
Alex Northey [UK],Klawf Terapagos
Ethan Chew [UK],Terapagos Dusknoir
Pearce Wilton [UK],Charizard Pidgeot
Hans van der Werf [NL],Gholdengo ex
Thomas Heijdemann [NL],Snorlax Stall
Koen Moors [NL],Raging Bolt Ogerpon
Alex Bismara [IT],Klawf Terapagos
Oliver Newson [UK],Iron Thorns ex
>ST10>Jamie Turner [UK],Unknown
Ruben van der Sluis [NL],Gholdengo ex
Lucian Hargreaves [UK],Charizard Pidgeot
Luke Ayla Mallia [MT],Banette Gardevoir
Lennert De Clercq [BE],Miraidon ex
Fabrizio Cremascoli [IT],Other
Julius Krag [DK],Banette Gardevoir
Alix Dufour [FR],Raging Bolt Ogerpon
HaiLong Nguyen [FR],Other
François FRUALDO [FR],Terapagos Dusknoir
Vinnie Schelfhaut [BE],Ancient Box
Alessandro Cremascoli [IT],Unknown
Leon Thiemann [DE],Unknown
Daniele Rosati [IT],Unknown
Owen Dalgard [US],Unknown
Marc Towler [UK],Unknown
Luca Clavadetscher [CH],Unknown
Yang SHI [FR],Unknown
Thomas GERAUNON [FR],Unknown
Nicolas Drouet [FR],Unknown
Victor Desombre [FR],Unknown
Bartosz Bialik [PL],Unknown
Valentin Radet [FR],Unknown
Niklaus Christen [CH],Unknown
Oliver Elwick [UK],Unknown
Jack Chambers [UK],Unknown
Gabor Van Meenen [DE],Unknown
Piotr Matliński [PL],Unknown
Benny Billinger [CA],Unknown
Max Hofmans [NL],Unknown
