Caleb Gedemer [US],Raging Bolt Ogerpon
Michael Davidson [US],Lost Zone Box
Kyle Lesniewicz [US],Terapagos Dusknoir
Sebastian Lashmet [US],Charizard Pidgeot
Benjamin Hebert [CA],Regidrago VSTAR
Ciaran Farah [CA],Lugia Archeops
Gabriel Smart [US],Terapagos Dusknoir
Yerco Valencia [CL],Lugia Archeops
Brandon Dean [US],Terapagos Dusknoir
Xander Pero [US],Raging Bolt Ogerpon
gwen durell [US],Lugia Archeops
Simon Feng [CA],Snorlax Stall
Isaiah Cheville [US],Charizard Pidgeot
Grant Walworth [US],Lugia Archeops
Ryan Antonucci [US],Snorlax Stall
Julian Gort-Barry [CA],Terapagos Dusknoir
Nathan Ginsburg [US],Lost Zone Box
Alex Schemanske [US],Terapagos Dusknoir
Vincent Owen [US],Raging Bolt Ogerpon
Calvin Connor [US],Snorlax Stall
Travis Beckwith [US],Terapagos Dusknoir
Tyler Mathews [US],Lost Zone Box
Ethan Sevigny [US],Raging Bolt Ogerpon
jesse spencer [US],Dragapult Dusknoir
Alexander Scheller [US],Lugia Archeops
Malachi Ryder [US],Pidgeot Control
Owen Dalgard [US],Terapagos Dusknoir
Haruki Miwa [JP],Charizard Pidgeot
Michael Lehotsky [US],Raging Bolt Ogerpon
Cameron Shenoy [US],Regidrago VSTAR
Olivia Ambrosetti [US],Charizard Pidgeot
Dylan Gunn [US],Pidgeot Control
Dylan Smeigh [US],Lugia Archeops
Samuel Liggett [US],Charizard Pidgeot
Lucas Xing [CA],Regidrago VSTAR
Henry Chao [US],Gardevoir ex
Brock Davis [US],Lugia Archeops
Piper Lepine [US],Banette Gardevoir
Juan Mora [US],Terapagos Dusknoir
Kamal Crooks-Valdez [US],Terapagos Dusknoir
Mustafa Tobah [US],Raging Bolt Ogerpon
Jeremiah Schmutz [US],Lugia Archeops
James Shows [US],Raging Bolt Ogerpon
Jack Moore [CA],Regidrago VSTAR
Camden Cornwall [US],Regidrago VSTAR
Christian Chase [US],Dragapult Pidgeot
Ethan Yi [US],Pidgeot Control
Victor De Velasco [MX],Snorlax Stall
Jake Riggs [US],Dragapult Dusknoir
Anthony Romanello [US],Charizard Pidgeot
>128 TABLE Matt Bacnis [US],Unknown
Tucker Louis [US],Regidrago VSTAR
Caleb Rogerson [US],Lost Zone Box
Colton Mesimer [US],Raging Bolt Ogerpon
Matthew Chmielewski [US],Gholdengo ex
Kaleb Jacobson [US],Lost Zone Box
Dillon Johnson [US],Lugia Archeops
Alex Chandler [US],Terapagos Dusknoir
Sackett Brehmer [US],Terapagos Dusknoir
Grant Shen [US],Regidrago VSTAR
Scotty Chesser [US],Lost Zone Box
Maxwell Johnson [US],Iron Thorns ex
Ryan Bonham [US],Snorlax Stall
Justin Brothers [US],Terapagos Dusknoir
Cyrus McCane [US],Snorlax Stall
Pearce Blend [US],Regidrago VSTAR
Preston Rutledge [US],Terapagos Dusknoir
Connor Chiappetta [US],Charizard Pidgeot
Ben Hays [US],Banette Gardevoir
Bobbie Baker [US],Raging Bolt Ogerpon
Corey Blankenship [US],Lugia Archeops
Jacob Szettella [US],Raging Bolt Ogerpon
Jon Eng [US],Regidrago VSTAR
Nicholas Moffitt [US],Regidrago VSTAR
Riley McKay [CA],Regidrago VSTAR
Jordan Childers [US],Iron Thorns ex
Scott DeGraw [US],Iron Thorns ex
Albert Centeno [US],Raging Bolt Ogerpon
Hunter Butler [US],Lost Zone Box
Sanjay Sundararajan [US],Pidgeot Control
blake wray [US],Terapagos Dusknoir
Tyler Ashlock [US],Terapagos Dusknoir
Ayden Crosby [US],Gardevoir ex
Christian LaBella [CA],Regidrago VSTAR
Payne Huisman [CA],Raging Bolt Ogerpon
Sahil Parekh [US],Regidrago VSTAR
Tyler Perry [US],Charizard Pidgeot
Dillon Ryan [US],Snorlax Stall
