Keito Arai [JP],Gardevoir ex
Hiro Yaoka [JP],Klawf Terapagos
Reiji Nishiguchi [JP],Iron Thorns ex
Lucas Hamilton-Foster [AU],Klawf Terapagos
Peter Lo [AU],Regidrago VSTAR
Yuhao Xia [AU],Dragapult Iron Thorns
xinzhe hou [AU],Regidrago VSTAR
Haruki Miwa [JP],Gardevoir ex
NATALIE Millar [AU],Regidrago VSTAR
Jeremy Leong [SG],Regidrago VSTAR
Rahul Reddy [US],Lugia Archeops
Jordan Palmer [AU],Charizard Pidgeot
Daichi Shimada [JP],Iron Thorns ex
Samantha Turner [AU],Charizard Pidgeot
Katherine Mai [AU],Gardevoir ex
Jake Dunstan [AU],Snorlax Stall
Shun Takahashi [JP],Regidrago VSTAR
Brent Tonisson [AU],Regidrago VSTAR
James Williams [AU],Charizard Pidgeot
Okada Ryuki [JP],Dragapult Iron Thorns
Noel Lim [SG],Charizard Pidgeot
STATIC SEATING (30) Edin Visca,Unknown
Jettano Posani [AU],Charizard Pidgeot
Callum Walker [AU],Gardevoir ex
Yanqiu Han [AU],Regidrago VSTAR
Kelvin Duong [AU],Roaring Moon ex
Hakim Moussaoui [AU],Charizard Pidgeot
Bjorn Soh CaiWei [SG],Lugia Archeops
Tim Franklin [AU],Regidrago VSTAR
Sameer Sangwan [AU],Klawf Terapagos
Matthew Burris [AU],Regidrago VSTAR
Hayden Matthews [AU],Charizard Pidgeot
Angus Johnson [AU],Lost Zone Box
Kurt Spiteri [AU],Lugia Archeops
Devan Kyle Timbol [AU],Raging Bolt Ogerpon
Matt Chuang [US],Regidrago VSTAR
Charlie Queen [AU],Other
masahiro iwamoto [JP],Charizard Pidgeot
Aaron van der Kolk [AU],Gholdengo ex
Harry Shallcrass [NZ],Regidrago VSTAR
Vignesh Krishnan [AU],Charizard Pidgeot
TAKUYA MITSUMUNE [JP],Charizard Pidgeot
Gabriel Smart [US],Charizard Pidgeot
Jeremy Lim [AU],Palkia
Jake Austin [AU],Snorlax Stall
HIROKI FUJIWARA [JP],Snorlax Stall
Nathan Spry [AU],Klawf Terapagos
Samuel Cohen [AU],Regidrago VSTAR
Mitch Knuckey [AU],Charizard Pidgeot
Matthew Bray [AU],Regidrago VSTAR
Justin Hoy [AU],Miraidon ex
Luke Schmitt [AU],Gholdengo ex
Jayf Soh [SG],Charizard Pidgeot
Alicia Keizer [AU],Regidrago VSTAR
Raymond Siswara Wong [ID],Other
Dylan van der Riet [AU],Iron Thorns ex
Alexander Thorvaldson [AU],Miraidon ex
Ashton Grant [AU],Charizard Pidgeot
Ryan Tan [UK],Regidrago VSTAR
Rory Beniuk [AU],Gholdengo ex
Chung-Yin Johnny Chan [AU],Klawf Terapagos
Deacan Page [AU],Lugia Archeops
Zak Sing Lo [HK],Lugia Archeops
Thomas Hormann [AU],Regidrago VSTAR
Kaito Takita [JP],Regidrago VSTAR
Jason Phua [SG],Regidrago VSTAR
Hiromu Sasaki [JP],Gardevoir ex
Keegan Burt [AU],Gholdengo ex
Akihiro Sato [JP],Charizard Pidgeot
Akira Kurasaki [JP],Miraidon ex
James Goreing [AU],Raging Bolt Ogerpon
Peter Ghionis [AU],Other
Sophia Crunkhorn [AU],Lugia Archeops
Robert Seymour [AU],Klawf Terapagos
Christian Viti [AU],Lost Zone Box
Jorge Soria [AU],Lost Zone Box
Jesse Becker [AU],Snorlax Stall
Joshua Sparks [AU],Lost Zone Box
troy fisher [AU],Charizard Pidgeot
David Lehoux [FR],Regidrago VSTAR
Simon Tian [AU],Regidrago VSTAR
Shane Quinn [AU],Regidrago VSTAR
sho akagawa [JP],Gardevoir ex
Tom Bourke [AU],Snorlax Stall
Riku Nakajima [JP],Regidrago VSTAR
ハルト 干場 [JP],Terapagos Dusknoir
Tan Loc Thuan Nguyen [AU],Gholdengo ex
Nathan Woodcock [AU],Snorlax Stall
Terry Hilario [ID],Lost Zone Box
Christopher Cheung [AU],Klawf Terapagos
Sebastian Hill [AU],Regidrago VSTAR
Jason Yip [AU],Other
Cayden Watson [NZ],Lost Zone Box
Ethan Stoeckert [AU],Charizard Pidgeot
Tom Schmitt [AU],Raging Bolt Ogerpon
Stirling Patterson [AU],Gholdengo ex
