Landen Kaetler [CA],Miraidon ex
Kenneth Gilman [US],Miraidon ex
Victor De Velasco [MX],Gholdengo ex
Grant Shen [US],Regidrago VSTAR
Brent Tonisson [AU],Regidrago VSTAR
Jon Eng [US],Regidrago VSTAR
Noah Sakadjian [US],Regidrago VSTAR
Isaiah Williams [US],Regidrago VSTAR
Camden Freeze [US],Charizard Pidgeot
Yihao Chen [US],Roaring Moon ex
Jon Bieligk [US],Charizard Pidgeot
Andrew Hedrick [US],Regidrago VSTAR
Joshua Salverredy [PE],Regidrago VSTAR
Andy Zhang [US],Palkia
Nicholas Cucinelli [US],Roaring Moon ex
Joseph Mousaed [US],Snorlax Stall
Cerys Jones [US],Gardevoir ex
Benjamin Clark [US],Charizard Pidgeot
Samuel Scime [CA],Lugia Archeops
Alex Lien [US],Roaring Moon ex
Benjamin Nackman [US],Terapagos Dusknoir
John Hunschofsky [US],Terapagos Dusknoir
Cody Roripaugh [US],Dragapult Dusknoir
Richard Yannow [US],Klawf Terapagos
Michael Cacilhas [US],Raging Bolt Ogerpon
Patrik Räty [US],Klawf Terapagos
Ethan Hegyi [US],Regidrago VSTAR
Sawyer Melban [US],Regidrago VSTAR
Liam Halliburton [US],Pidgeot Control
Omar Quezada [US],Regidrago VSTAR
Ryan Antonucci [US],Regidrago VSTAR
Drue Townsend [US],Charizard Pidgeot
Felipe Garibay [US],Charizard Pidgeot
Grant Manley [US],Regidrago VSTAR
Caleb Gedemer [US],Regidrago VSTAR
Nathian Beck [US],Raging Bolt Ogerpon
Lennon Baugh [US],Klawf Terapagos
Lance Bradshaw [US],Regidrago VSTAR
Ethan Rible [US],Regidrago VSTAR
Dylan Smeigh [US],Lugia Archeops
John England [US],Regidrago VSTAR
James Simms [US],Miraidon ex
Haruki Miwa [JP],Gardevoir ex
Andrew Choi [US],Archaludon ex
Travis Beckwith [US],Regidrago VSTAR
Avante Benson [US],Gholdengo ex
Rowan Willeke [US],Dragapult ex
ANDREW GANTNER [US],Lost Zone Box
Andrew Scott [US],Regidrago VSTAR
Abaan Ahmed [US],Gardevoir ex
Ethan Yi [US],Other
noah schuler [US],Lugia Archeops
Benjamin Anders [US],Dragapult Pidgeot
Josh Bangle [US],Archaludon ex
Victormanuel Jimenez [US],Lost Zone Box
Armando Cervantes [US],Regidrago VSTAR
Emmet Hurley [US],Roaring Moon ex
Calvin Connor [US],Snorlax Stall
Caleb Rogerson [US],Regidrago VSTAR
Christian LaBella [CA],Regidrago VSTAR
Joseph Sanchez [US],Roaring Moon ex
Makani Tran [US],Charizard Pidgeot
Joe Turrentine [US],Other
Aaron Davis [US],Snorlax Stall
Vance Kelley [US],Regidrago VSTAR
Dean Nezam [US],Other
Joshua Frink [US],Other
Gabriel Chai [US],Other
Stephen Lowe [US],Snorlax Stall
Elijah Hodges [US],Raging Bolt Ogerpon
Maxwell Johnson [US],Snorlax Stall
Yoshii Ma [US],Unknown
Michael Meal [CA],Lost Zone Box
Maurino Lopez [US],Snorlax Stall
Niccolo Abate [US],Charizard Pidgeot
AJ Bautista [US],Raging Bolt Ogerpon
Tony Vuong [US],Roaring Moon ex
Francisco Jacobs [MX],Regidrago VSTAR
Landen Owens [US],Regidrago VSTAR
Thanh Nhan Nguyen [US],Charizard Pidgeot
tony mendoza [US],Klawf Terapagos
