Pedro Pertusi [BR],Charizard ex
Nicolas Galaz [CL],Lost Box
Alex Silva [BR],Charizard ex
Ricardo Hille [BR],Charizard ex
Jonathan Fabrizio Bellucci Lanciano [AR],Lost Giratina
Giovanni Peragallo [CL],Gardevoir
Lucas Matheus [BR],Arceus/Giratina
Leonardo Danna [BR],Lugia
João Requena [BR],Arceus/Giratina
Javier Gamboa [CL],Ancient Moon
Marco Cifuentes [CL],Arceus variant
William Azevedo [BR],Charizard ex
Bastian Silva [CL],Chien Pao/Baxcalibur
Rafael Breanza [BR],Lugia
Lucas Magalhães [BR],Charizard ex
andres estefano gajardo lopehandia [CL],Chien Pao/Baxcalibur
miguel angel rojas duk [CL],Lost Box
matias diaz [CL],Lugia
Guilherme Lessa [BR],Pidgeot Control
Victor Freitas [BR],Espathra
Matías Martini [CL],Charizard ex
Yerco Valencia [CL],Chien Pao/Baxcalibur
Thiago Giovannetti [BR],Ancient Box
Andres Lostaunau [PE],Ancient Moon
HUGO SUANNO [BR],Lugia
DOUGLAS MAIOLA [BR],Arceus/Giratina
Patricia Gonzalez Walsh [AR],Snorlax Stall
Diego Franche [BR],Lost Giratina
Daniel Abramovici [BR],Espathra
Murilo Mercadante [BR],Lugia
Juan Andree [CL],Charizard ex
gustavo wada [BR],Charizard ex
SAMIR NETO [BR],Arceus/Armarouge
João Gabriel Penteado [BR],Ancient Box
Wallysson Lima [BR],Espathra
Henrique Bonenti [BR],Lost Giratina
Leonardo Braga [BR],Gardevoir
Alejo Salvador [AR],Charizard ex
Diego Cassiraga [AR],Lost Box
vitor soares [BR],Espathra
Francisco Osorio [CL],Charizard ex
Alexandre Bozzo [BR],Snorlax Stall
Cauã Rafael [BR],Gardevoir
Arthur Mesquita [BR],Lugia
Lucas Stinguel [BR],Dialga/Metang
Dalton Acchetta [BR],Charizard ex
Matias Matricardi [AR],Ancient Box
Gaston Kitela [AR],Future Hands
Felipe Carreño [CL],Charizard ex
Santiago Prieto [CL],Gardevoir
Rafael Hernandez Canales [CL],Charizard ex
JORGE DA SILVA VIEIRA [BR],Chien Pao/Baxcalibur
Edgardo Martin Saldivia [AR],Charizard ex
Gabriel Roide [BR],Dialga/Metang
Pedro Lacerda [BR],Pidgeot Control
gabriel land [BR],Charizard ex
João Pedro Medeiros Zambrano [BR],Espathra
Lucas Gusso [BR],Sablezard
André Argolo [BR],Arceus/Armarouge
Pedro Jorge [BR],Charizard ex
Vitor Lugon Cacciari Martinelli [BR],Charizard ex
Kaue Sales [BR],Lost Box
Carlos Sepúlveda [CL],Charizard ex
Guilherme Palitos [BR],Dialga/Metang
Marco Antônio Silva de Macedo Mota [BR],Lost Giratina
Vinicius Pedro da Silveira [BR],Future Hands
Alejandro Luciano Eijo [BR],Miraidon
Lucas Alkmin [BR],Future Hands
Bruno Souza [BR],Arceus/Giratina
Joao Antonio Cavalcanti [BR],Lost Box
Rafael Yuiti [BR],Charizard ex
André Miranda [BR],Miraidon
Laura Braga [BR],Espathra
Vinícius fernandez [BR],Espathra
Marcelo Vercelino [BR],Lugia
Samuel Martins [BR],Lost Box
Felipe Barreto [BR],Ancient Box
Omar Lima Junior [BR],Pidgeot Control
WELLINGTON ZOOBI [BR],Raging Bolt
