Aarni Karjala [FI],Charizard Pidgeot
Öjvind Svinhufvud [FI],Charizard Pidgeot
Matěj Nesvadba [CZ],Palkia
Nathan Doyle [IE],Gardevoir ex
Mads Jensen [DK],Dragapult Iron Thorns
Owyn Kamerman [NL],Gholdengo ex
Robin Schulz [DE],Klawf Terapagos
Antoine Boulay [FR],Gholdengo ex
Patrik Holler [CZ],Dragapult Dusknoir
David Walerian Rzepka [DE],Charizard Pidgeot
Matthew Houtput [BE],Gardevoir ex
Alex Bortolini [IT],Regidrago VSTAR
Jari Honraedt [BE],Klawf Terapagos
Simone Canziani [IT],Roaring Moon ex
Janek Jagiełło [PL],Charizard Pidgeot
Nicolai Stiborg [DK],Snorlax Stall
Caroline Ferino [FR],Roaring Moon ex
heddi Brahmi [FR],Regidrago VSTAR
Patrik Bartošovič [CZ],Klawf Terapagos
Tord Reklev [NO],Regidrago VSTAR
Tapio Ikonen [FI],Klawf Terapagos
Bartosz Bialik [PL],Regidrago VSTAR
Simone Veronese [IT],Klawf Terapagos
Aleksi Jäntti [FI],Charizard Pidgeot
Lewis Roach [UK],Regidrago VSTAR
Liliana Imrichová [SK],Lost Zone Box
Nico Alabas [DE],Klawf Terapagos
Maximilian Müller [DE],Dragapult Dusknoir
David Marel [CZ],Regidrago VSTAR
Juho Kallama [FI],Klawf Terapagos
Enzo DUVAL [FR],Archaludon ex
Daniel Powell [UK],Terapagos Dusknoir
Carlo Antonio del Vescovo [IT],Klawf Terapagos
Roberto Divano [IT],Lost Zone Box
Yoann Barszezak [FR],Regidrago VSTAR
Manuel Jorach [AT],Charizard Pidgeot
Sebastian Uziuk [PL],Gholdengo ex
Nicolas Darge [DE],Charizard Pidgeot
Christian Graziano [IT],Klawf Terapagos
Ethan Wilde [UK],Archaludon ex
>TCG-ST3>Alexander Krauß [DE],Unknown
Alberto Conti [IT],Regidrago VSTAR
Kevin Dierks [DE],Lugia Archeops
Francesco Pasquale Caterino [IT],Roaring Moon ex
Brennan Kamerman [NL],Lost Zone Box
Vincent Fatunz [DE],Charizard Pidgeot
Nicolò Castignoli [IT],Gholdengo ex
Bas Juffer [NL],Roaring Moon ex
Marcel Coucouvis [DE],Banette Gardevoir
Yang SHI [FR],Roaring Moon ex
Tetsu Watanabe [IT],Charizard Pidgeot
Philipp Leciejewski [DE],Regidrago VSTAR
Gino Pili [NL],Charizard Pidgeot
Ricki Madsen [DK],Dragapult Iron Thorns
Daniel Brunsch [DE],Lugia Archeops
Jesper S.H Eriksen [DK],Klawf Terapagos
Thibault Delahaye [FR],Roaring Moon ex
Kristian Hodas [SK],Regidrago VSTAR
Julius Brunfeldt [FI],Regidrago VSTAR
Elias Haremsa [DE],Terapagos Dusknoir
Emma Hagen [NO],Pidgeot Control
Max Schlehaider [DE],Klawf Terapagos
Gino Meister [CH],Terapagos Dusknoir
Alessandro Bax [IT],Pidgeot Control
Finn Schleusner [DE],Snorlax Stall
Phillip Linney [CZ],Charizard Pidgeot
Andrea Mario Schroder [IT],Lugia Archeops
Alessandro Frenda [IT],Terapagos Dusknoir
Oscar Madsen [DK],Klawf Terapagos
Andrea Zamboni [IT],Miraidon ex
Patryk Róg [PL],Charizard Pidgeot
Dario Scarnò [IT],Regidrago VSTAR
Leon Thiemann [DE],Snorlax Stall
Kevin Kitzig [DE],Miraidon ex
Stéphane Ivanoff [FR],Terapagos Dusknoir
Raúl Méndez Horcas [ES],Other
Victor ZHAO [FR],Charizard Pidgeot
Luke Burke [UK],Lost Zone Box
Ondřej Škubal [CZ],Regidrago VSTAR
Riccardo Coviello [IT],Ancient Box
Alex Lonnecker [UK],Regidrago VSTAR
Matteo Zappalá [IT],Terapagos Dusknoir
Jaden Berberich [DE],Charizard Pidgeot
FABIEN Pujol [FR],Terapagos Dusknoir
Alessandro Cremascoli [IT],Other
Patrick Landis [CH],Terapagos Dusknoir
Jimmy Hoang [DK],Dragapult Iron Thorns
Dominik Wiśniewski [PL],Miraidon ex
Kilian Barth [DE],Pidgeot Control
Nicholas Forsinetti [IT],Ancient Box
Baverel Thomas [FR],Charizard Pidgeot
Matteo Pasqual [IT],Roaring Moon ex
Uffe Axelsen [DK],Klawf Terapagos
Alberto Benvenga [IT],Archaludon ex
Tobias Gervin [IE],Raging Bolt Ogerpon
Eric Walther [DE],Roaring Moon ex
Gilles Heyndrickx [BE],Gardevoir ex
Joe Bernard [UK],Miraidon ex
Kaya Lichtleitner [DE],Terapagos Dusknoir
Sergey Shish [DE],Roaring Moon ex
Andrea Stranieri [IT],Klawf Terapagos
Rahul Reddy [US],Klawf Terapagos
Christian Fontenot [DK],Klawf Terapagos
Joshua Galys [DE],Terapagos Dusknoir
Andrey Chaus [DE],Roaring Moon ex
Christoph Wiederker [DE],Roaring Moon ex
Patrick Döbelin [DE],Roaring Moon ex
Finn Looft [DE],Regidrago VSTAR
Alexander Sylvester [DE],Regidrago VSTAR
Bryan de Vries [NL],Regidrago VSTAR
Marek Stolarik [SK],Regidrago VSTAR
Gioele Reitano [DE],Charizard Pidgeot
Hermanni Hietalahti [FI],Klawf Terapagos
Florian Mansuy [FR],Regidrago VSTAR
Joram Eijkelhof [NL],Regidrago VSTAR
Hugo De Torres [ES],Regidrago VSTAR
Neddy Kosek [CZ],Other
Cem Kara [DE],Lugia Archeops
Mees Brenninkmeijer [NL],Terapagos Dusknoir
Andrew Elliott [UK],Archaludon ex
Thomas Becker [AT],Charizard Pidgeot
Luca Cavanna [IT],Archaludon ex
Michael Lilligreen [DE],Other
Cameron McDonald [UK],Regidrago VSTAR
Mario Guarino Mauriello [IT],Roaring Moon ex
Marcel Burri [CH],Gholdengo ex
Atilla Gedik [NL],Other
Darran Messom [UK],Miraidon ex
Luc Gantner [CH],Other
Tammo Hauft [DE],Raging Bolt Ogerpon
Arthur VINCENT [FR],Roaring Moon ex
Pascal Benesch [DE],Klawf Terapagos
Joah Wiegner [DE],Gardevoir ex
Mika Stange [DE],Regidrago VSTAR
Angelo De Domenico [IT],Roaring Moon ex
Dawid Andrzejewski [PL],Terapagos Dusknoir
Stefan Wolf [DE],Ancient Box
Lars Aquilino [LU],Regidrago VSTAR
Thomas Gaskill [UK],Charizard Pidgeot
Nerses Fatunz [DE],Snorlax Stall
Alexander Käppler [DE],Terapagos Dusknoir
Julius Kerkis [FI],Regidrago VSTAR
Antoine Betti [FR],Lost Zone Box
Marius Hinderberger [DE],Other
Marco Maccari [IT],Other
Daniel Rinaldi [IT],Dragapult Dusknoir
Markus Jakob [DE],Snorlax Stall
