Calvin Connor [US],Regidrago VSTAR
Caitlin White [CA],Regidrago VSTAR
Vincent Owen [US],Raging Bolt Ogerpon
Caleb Gedemer [US],Regidrago VSTAR
Lucas Xing [CA],Regidrago VSTAR
Hasan Kunukcu [US],Pidgeot Control
Christian LaBella [CA],Regidrago VSTAR
Owen Rhoads [US],Regidrago VSTAR
Ciaran Farah [CA],Lugia Archeops
Grant Shen [US],Regidrago VSTAR
Michael Davidson [US],Gardevoir ex
Henry Chao [US],Gardevoir ex
Gabe Shumway [US],Klawf Terapagos
Elliot Miller [US],Klawf Terapagos
Vance Kelley [US],Regidrago VSTAR
Brandon Salazar [US],Gardevoir ex
Brandon Joestar [US],Raging Bolt Ogerpon
Felix Wong [CA],Gardevoir ex
Stephen Lowe [US],Snorlax Stall
Casey Katsouris [US],Roaring Moon ex
Jackson Ford [CA],Charizard Pidgeot
Corey Blankenship [US],Lugia Archeops
Caleb Rogerson [US],Regidrago VSTAR
David Zheng [US],Charizard Pidgeot
Dennis Peroff [CA],Other
Alex Hamilton [US],Charizard Pidgeot
Andrew Hedrick [US],Regidrago VSTAR
Samuel Martino [CA],Charizard Pidgeot
Maxence Gélinas [CA],Other
Benny Billinger [CA],Gardevoir ex
Makani Tran [US],Regidrago VSTAR
Joey Gaffney [CA],Pidgeot Control
Dylan Gunn [US],Pidgeot Control
Regan Retzloff [US],Lugia Archeops
jesse spencer [US],Gardevoir ex
Jeremy Gibson [US],Pidgeot Control
Benjamin Hebert [CA],Charizard Pidgeot
bryan okrey [US],Charizard Pidgeot
Jack Moore [CA],Regidrago VSTAR
Daniel Merlo [US],Regidrago VSTAR
Brenden Littlefield [US],Dragapult Iron Thorns
Lance Bradshaw [US],Regidrago VSTAR
Dario Marchetta [CA],Charizard Pidgeot
Stéphane Ivanoff [FR],Terapagos Dusknoir
Joshua Frink [US],Gardevoir ex
Cyrus Davis [CA],Other
Devin Holland [US],Charizard Pidgeot
Nicholas Moffitt [US],Regidrago VSTAR
Evan Bryant [US],Other
Joseph Nawal [US],Terapagos Dusknoir
Chris Franco [US],Regidrago VSTAR
Zach Lesage [CA],Roaring Moon ex
Riley McKay [CA],Regidrago VSTAR
Jeremiah Schmutz [US],Lugia Archeops
Austin Drake [CA],Charizard Pidgeot
Pablo Figueroa [MX],Banette Gardevoir
Connor Andrews [CA],Charizard Pidgeot
Gilbert Hoang [CA],Lugia Archeops
Justin Stites [US],Charizard Pidgeot
Tony Quach [US],Iron Thorns ex
Tiger Hickman [US],Dragapult Iron Thorns
