Fernando Cifuentes [CL],Iron Thorns ex
Seinosuke Shiokawa [JP],Roaring Moon ex
Jesse Parker [US],Miraidon ex
Raz Wolpe [IL],Regidrago VSTAR
Isaiah Bradner [US],Regidrago VSTAR
James Goreing [AU],Raging Bolt Ogerpon
Ian Robb [US],Regidrago VSTAR
Michael Davidson [US],Regidrago VSTAR
Rahul Reddy [US],Lugia Archeops
Tord Reklev [NO],Charizard Pidgeot
Grant Shen [US],Regidrago VSTAR
Luo TianQing [CN],Gardevoir ex
miloslav posledni [CZ],Regidrago VSTAR
Konsta Kallama [FI],Lugia Archeops
Ryan Harris [US],Miraidon ex
Lucas Xing [CA],Palkia
Taisei Ito [JP],Lugia Archeops
SHINYA KARASHIMA [JP],Iron Thorns ex
Nicholas Moffitt [US],Regidrago VSTAR
Hayato Suzuki [JP],Charizard Pidgeot
Joshua Vanoverschelde [BE],Lugia Archeops
KAI-YU FANG [TW],Charizard Pidgeot
Kaiwen Cabbabe [AU],Regidrago VSTAR
Andrew Hedrick [US],Regidrago VSTAR
Eder Jarillo [MX],Lugia Archeops
Otavio Gouveia [BR],Regidrago VSTAR
Alessandro Cremascoli [IT],Pidgeot Control
Pedro Pertusi [BR],Charizard Pidgeot
facundo facio [AR],Iron Thorns ex
Tymoteusz Dziedzic [PL],Iron Thorns ex
YUTO TAKAHASHI [JP],Raging Bolt Ogerpon
Haruto Miki [JP],Gardevoir ex
Tom Hellkamp [US],Iron Thorns ex
Jack Moore [CA],Regidrago VSTAR
Oscar Madsen [DK],Charizard Pidgeot
Zach Lesage [CA],Regidrago VSTAR
Brandon Baughn [US],Lugia Archeops
RYOTO SAWAGUCHI [JP],Lugia Archeops
Cameron Kawasaki [US],Gholdengo ex
Yoshiyuki Yamaguchi [JP],Regidrago VSTAR
Taisei Ueguchi [JP],Raging Bolt Ogerpon
Diego Cassiraga [AR],Ancient Box
Ryan Antonucci [US],Snorlax Stall
James Cox [NL],Regidrago VSTAR
Zihao Chen [CN],Charizard Pidgeot
Iori Takahashi [JP],Miraidon ex
Vance Kelley [US],Regidrago VSTAR
William Azevedo [BR],Charizard Pidgeot
Ross Warren [UK],Raging Bolt Ogerpon
Cobi Kawasaki [US],Gholdengo ex
Minaki Hasegawa [JP],Gardevoir ex
Dario Tosolini [IT],Raging Bolt Ogerpon
Marco Cifuentes [CL],Other
Cameron Shenoy [US],Regidrago VSTAR
Sebastian Lashmet [US],Regidrago VSTAR
Aneil Saini [CA],Regidrago VSTAR
Mitch Knuckey [AU],Regidrago VSTAR
Javier Tengo Jofre [ES],Regidrago VSTAR
Chris Franco [US],Raging Bolt Ogerpon
Raúl González Sandoval [MX],Gardevoir ex
Caleb Rogerson [US],Regidrago VSTAR
Yerco Valencia [CL],Lugia Archeops
Francisco Osorio [CL],Lugia Archeops
Akira Kurasaki [JP],Regidrago VSTAR
Takashi Yoneda [JP],Regidrago VSTAR
Pedro Vicêncio [PT],Charizard Pidgeot
Aleksander Rutowicz [PL],Banette Gardevoir
Enzo Tassara [CL],Lugia Archeops
Bryan de Vries [NL],Regidrago VSTAR
Karl Blake [UK],Charizard Pidgeot
Abaan Ahmed [US],Gholdengo ex
Motohiro Higuchi [JP],Roaring Moon ex
Casey Bennink [US],Iron Thorns ex
Michael Slutsky [US],Raging Bolt Ogerpon
Sawyer Melban [US],Miraidon ex
Claudio Diaz [CL],Raging Bolt Ogerpon
Christian D'Onofrio [IT],Roaring Moon ex
