Tord Reklev [NO],Charizard ex
Isaiah Bradner [US],Lost Giratina
Alessandro Cremascoli [IT],Pidgeot Control
William Azevedo [BR],Charizard ex
Uffe Axelsen [DK],Future Hands
Juho Kallama [FI],Future Hands
Mark Høstrup [DK],Ancient Moon
Bert Wolters [NL],Pidgeot Control
FABIEN Pujol [FR],Gardevoir
Simone Soldo [IT],Future Hands
João Pedro Medeiros Zambrano [BR],Ancient Box
Pedro Eugenio Torres [ES],Lost Box
George Giannoulidis [GR],Charizard ex
Azul Garcia Griego [US],Lost Giratina
Solomon Shurge [US],Future Hands
Andres David Torres [CO],Ancient Moon
Julian Gort-Barry [CA],Arceus/Armarouge
Piper Lepine [US],Gardevoir
Caleb Gedemer [US],Lost Giratina
Tom Hellkamp [US],Chien Pao/Baxcalibur
Simon Tschan [CH],Future Hands
Ryan Miller [US],Chien Pao/Baxcalibur
Stéphane Ivanoff [FR],Gardevoir
Christian Graziano [IT],Lugia
Aidan Khus [US],Charizard ex
Braiden Elfert [US],Espathra
Brent Tonisson [AU],Charizard ex
Alessandro Frenda [IT],Arceus variant
Fabrizio Inga Silva [PE],Chien Pao/Baxcalibur
Samuel Gay [US],Pidgeot Control
Weifeng Lu [CN],Charizard ex
Austin Drake [CA],Charizard ex
Allan Xu [CA],Chien Pao/Baxcalibur
HECTOR IBARRA [US],Chien Pao/Baxcalibur
Hiromu Sasaki [JP],Unknown
Emma Hagen [NO],Pidgeot Control
facundo facio [AR],Lost Giratina
Callum Thomas [UK],Lugia
Adam Knowles [US],Lugia
Sackett Brehmer [US],Chien Pao/Baxcalibur
Julius Krag [DK],Charizard ex
Riccardo Coviello [IT],Ancient Box
Daichi Tamai [JP],Lost Giratina
Manuel Wiechert [DE],Chien Pao/Baxcalibur
Steven Mao [DE],Charizard ex
Ryan Prusak [US],Pidgeot Control
Matteo Galanti [UK],Future Hands
Yerco Valencia [CL],Chien Pao/Baxcalibur
Anastazja Clappison [CA],Chien Pao/Baxcalibur
Matias Matricardi [AR],Ancient Box
Taisei Kodama [JP],Charizard ex
Calvin Connor [US],Charizard ex
Vicente García Távora [ES],Charizard ex
Goncalo Pereira [PT],Future Hands
Zheng Wei Gerrard Ng [SG],Lost Giratina
Grant Manley [US],Lost Giratina
Jared Grimes [US],Chien Pao/Baxcalibur
Jan Hausmann [DE],Snorlax Stall
jesse spencer [US],Lugia
Lucas Xing [CA],Charizard ex
Alex Northey [UK],Charizard ex
Maddox Corcoran [US],Future Hands
Jeremy Gumila [US],Charizard ex
Edwyn Mesman [NL],Lost Box
Nathan Ginsburg [US],Pidgeot Control
Luke Kirkham [UK],Ancient Moon
Dalten Cross [US],Future Hands
Michael Pramawat [US],Arceus/Giratina
Dor Eshel [IL],Lugia
James Hart [US],Future Hands
Sebastian Uziuk [PL],Lugia
Leonardo Martins [PT],Lugia
Ciaran Farah [CA],Chien Pao/Baxcalibur
Leandro Fernandes [BR],Lost Box
Vinícius fernandez [BR],Ancient Box
Morgan Edwards [UK],Future Hands
German Herrera [US],Snorlax Stall
Karl Fletcher [UK],Gholdengo
Konsta Kallama [FI],Chien Pao/Baxcalibur
Bastian Silva [CL],Chien Pao/Baxcalibur
masahiro iwamoto [JP],Chien Pao/Baxcalibur
Daniel Husevik [NO],Gardevoir
Cristian Sarnataro [IT],Chien Pao/Baxcalibur
Jack Moore [CA],Lost Box
Ian Robb [US],Charizard ex
Raz Wolpe [IL],Lost Box
Giorgio Danesino [IT],Lost Giratina
Noah Sawyer [US],Future Hands
Michael Bergerac [US],Charizard ex
Case Bennink [US],Chien Pao/Baxcalibur
Mike Pianka [US],Charizard ex
Alex Hamilton [US],Arceus/Giratina
Karel Maertens [BE],Charizard ex
Lennard Kolletzki [DE],Lost Giratina
Nerses Fatunz [DE],Snorlax Stall
Arjun Khadse [US],Chien Pao/Baxcalibur
Diego Cassiraga [AR],Ancient Box
Damian Gabriel Riquel [AR],Chien Pao/Baxcalibur
Reiji Nishiguchi [JP],Charizard ex
Jake Walvin [UK],Arceus/Giratina
