deck,percentage
ancient-box,2.712357767
archaludon-ex,3.162212225
banette-gardevoir,0.83355385
ceruledge-ex,6.311193437
charizard-pidgeot,11.41836465
dragapult-dusknoir,1.349563377
dragapult-ex,1.759724795
dragapult-iron-thorns,4.247155332
dragapult-pidgeot,0.83355385
gardevoir-ex-sv,5.953956073
gholdengo-ex,7.091823234
iron-thorns-ex,1.93172797
klawf-terapagos,4.154538238
lost-zone-box,7.369674517
lugia-archeops,3.506218576
miraidon-ex,6.787509923
palkia-dusknoir,1.746493781
pidgeot-control,3.175443239
raging-bolt-ogerpon,6.006880127
regidrago-vstar,9.923260122
roaring-moon-ex,3.506218576
snorlax-stall,3.440063509
terapagos-dusknoir,2.778512834
