Opponent,ancient-box,archaludon-ex,banette-gardevoir,ceruledge-ex,charizard-pidgeot,dragapult-dusknoir,dragapult-ex,dragapult-iron-thorns,dragapult-pidgeot,gardevoir-ex-sv,gholdengo-ex,iron-thorns-ex,klawf-terapagos,lost-zone-box,lugia-archeops,miraidon-ex,palkia-dusknoir,pidgeot-control,raging-bolt-ogerpon,regidrago-vstar,roaring-moon-ex,snorlax-stall,terapagos-dusknoir
ancient-box,5.3,11.8,10.0,7.1,7.3,2.8,25.0,8.7,25.0,9.1,6.9,4.3,13.6,11.2,4.3,7.1,2.5,4.0,5.3,7.2,4.3,2.8,10.3
archaludon-ex,11.8,2.0,25.0,1.9,4.2,10.6,25.0,12.5,0.0,4.9,6.8,4.3,4.7,3.6,3.7,2.9,14.3,11.8,5.5,5.8,8.8,5.3,9.2
banette-gardevoir,10.0,25.0,0.0,0.0,4.3,2.9,,18.2,0.0,11.4,0.0,6.9,14.3,2.9,4.1,4.3,8.7,6.3,6.4,9.6,0.0,7.1,7.9
ceruledge-ex,7.1,1.9,0.0,2.7,4.7,5.3,0.0,1.6,0.0,6.6,2.4,2.2,4.3,6.9,4.1,5.3,2.2,6.3,3.0,9.0,3.6,6.3,2.9
charizard-pidgeot,7.3,4.2,4.3,4.7,3.2,8.0,14.3,6.1,7.5,7.7,5.9,3.7,3.4,7.4,4.5,4.3,5.0,7.1,5.9,6.1,5.0,4.3,4.7
dragapult-dusknoir,2.8,10.6,2.9,5.3,8.0,1.9,0.0,2.9,4.0,8.6,6.5,1.6,5.2,6.0,4.3,3.9,3.3,6.3,5.5,5.3,3.4,4.5,5.0
dragapult-ex,25.0,25.0,,0.0,14.3,0.0,0.0,,0.0,6.3,11.8,4.5,0.0,14.3,10.0,6.3,10.0,0.0,11.4,2.5,10.0,0.0,12.5
dragapult-iron-thorns,8.7,12.5,18.2,1.6,6.1,2.9,,4.2,10.0,9.6,5.5,0.0,3.7,7.7,3.2,4.4,3.8,0.0,4.8,5.5,5.8,5.5,2.4
dragapult-pidgeot,25.0,0.0,0.0,0.0,7.5,4.0,0.0,10.0,,2.9,4.0,5.3,4.0,0.0,4.5,5.7,0.0,6.3,4.7,5.4,7.7,2.9,5.4
gardevoir-ex-sv,9.1,4.9,11.4,6.6,7.7,8.6,6.3,9.8,2.9,4.1,9.4,7.3,3.8,7.3,5.5,5.3,6.8,6.4,4.7,6.0,7.5,5.0,6.5
gholdengo-ex,6.9,6.8,0.0,2.4,5.9,6.5,11.8,5.6,4.0,9.4,3.2,3.1,3.5,6.3,6.1,3.1,7.7,5.1,2.9,6.5,5.4,3.6,5.9
iron-thorns-ex,4.3,4.3,6.9,2.2,3.7,1.6,4.5,0.0,5.3,7.3,3.1,1.8,2.9,3.1,1.3,2.0,0.0,3.4,3.4,1.8,5.8,4.5,3.4
klawf-terapagos,13.6,4.7,14.3,4.3,3.4,5.2,0.0,3.9,4.0,3.8,3.5,2.9,5.3,3.4,4.7,4.7,7.0,4.4,5.1,5.9,7.3,1.7,3.3
lost-zone-box,11.2,3.6,2.9,6.9,7.4,6.0,14.3,7.7,0.0,7.2,6.3,3.1,3.4,2.8,6.7,4.1,5.0,3.5,6.2,5.7,4.9,4.7,7.6
lugia-archeops,4.3,3.7,4.0,4.0,4.5,4.3,10.0,3.3,4.5,5.4,6.0,1.3,4.7,6.7,1.3,2.8,3.6,6.4,4.6,4.0,6.1,3.0,3.6
miraidon-ex,7.1,2.8,4.3,5.3,4.3,3.9,6.3,4.4,5.7,5.3,3.1,2.0,4.7,4.1,2.9,2.1,4.5,5.3,4.5,4.5,6.5,2.5,2.2
palkia-dusknoir,2.5,14.3,8.7,2.2,5.0,3.3,10.0,3.8,0.0,6.8,7.7,0.0,7.0,5.0,3.6,4.5,0.0,7.7,5.9,5.7,7.0,6.5,5.1
pidgeot-control,4.0,11.8,6.3,6.3,7.1,6.3,0.0,0.0,6.3,6.4,5.1,3.4,4.4,3.5,6.4,5.3,7.7,4.0,6.0,4.2,8.2,1.3,1.4
raging-bolt-ogerpon,5.3,5.5,6.4,3.0,5.9,5.5,11.4,4.8,4.7,4.7,2.9,3.4,5.1,6.3,4.7,4.5,5.9,6.0,1.8,5.8,6.2,6.1,4.3
regidrago-vstar,7.1,5.8,9.6,9.0,6.1,5.3,2.5,5.6,5.4,6.0,6.5,1.7,5.9,5.7,4.1,4.5,5.6,4.2,5.8,3.4,4.3,5.8,4.7
roaring-moon-ex,4.3,8.8,0.0,3.6,5.0,3.4,10.0,5.8,7.7,7.5,5.4,5.8,7.3,4.9,6.1,6.5,7.0,8.2,6.2,4.3,2.7,3.0,3.9
snorlax-stall,2.8,5.3,7.1,6.3,4.1,4.5,0.0,5.1,2.9,5.0,3.5,4.5,1.7,4.5,3.0,2.5,6.5,1.2,6.1,5.7,2.9,6.0,4.7
terapagos-dusknoir,10.3,9.2,7.9,2.9,4.7,4.9,12.5,2.4,5.4,6.5,5.9,3.4,3.3,7.7,3.6,2.2,5.1,1.4,4.3,4.7,3.9,4.7,2.3
